season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id
2020/21,141746,105,113,244,3101,18,14,13,36,0,0,1,6,0,0,36,870,1292.6,1414.9,1253.0,396.2,0,0.0,0.0,0.0,0.0,366,Bruno,Borges Fernandes,141746_2020/21
2021/22,141746,120,116,151,3110,10,7,8,54,0,0,2,10,0,0,15,626,906.6,1291.9,910.0,311.2,0,0.0,0.0,0.0,0.0,366,Bruno,Borges Fernandes,141746_2021/22
2022/23,141746,100,95,176,3317,8,9,18,39,0,0,0,6,0,0,23,748,1004.2,1603.7,982.0,359.3,37,9.33,10.7,20.03,49.13,366,Bruno,Borges Fernandes,141746_2022/23
2023/24,141746,85,85,166,3118,10,9,7,52,0,0,1,9,0,0,24,729,1101.6,1663.0,748.0,351.3,35,9.73,10.23,19.96,63.99,366,Bruno,Borges Fernandes,141746_2023/24
2021/22,493105,45,45,2,12,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,372,Alejandro,Garnacho,493105_2021/22
2022/23,493105,45,41,39,557,3,2,0,13,0,0,0,3,0,0,0,81,157.6,61.7,287.0,50.7,5,2.97,0.95,3.92,8.02,372,Alejandro,Garnacho,493105_2022/23
2023/24,493105,50,50,131,2564,7,7,8,39,0,0,0,4,0,0,7,372,527.2,616.8,1103.0,224.3,30,8.23,2.81,11.04,51.56,372,Alejandro,Garnacho,493105_2023/24
2009/10,440089,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89,Mikkel,Damsgaard,440089_2009/10
2022/23,440089,55,50,33,970,0,0,3,14,0,0,0,4,0,0,0,131,140.2,172.1,152.0,46.5,9,2.31,1.32,3.63,14.89,89,Mikkel,Damsgaard,440089_2022/23
2023/24,440089,50,48,45,829,0,4,5,9,0,0,0,2,0,0,0,155,162.6,179.1,103.0,44.7,7,0.76,0.93,1.69,10.11,89,Mikkel,Damsgaard,440089_2023/24
2022/23,531989,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.8,0.0,0.1,0,0.0,0.0,0.0,0.0,212,David,Ozoh,531989_2022/23
2023/24,531989,45,45,8,148,0,0,0,5,0,0,0,1,0,0,0,27,25.2,4.0,0.0,2.9,0,0.0,0.01,0.01,3.06,212,David,Ozoh,531989_2023/24
2018/19,152551,45,45,75,2505,2,2,9,49,1,0,0,12,0,0,6,410,539.6,245.8,174.0,96.2,0,0.0,0.0,0.0,0.0,206,Jefferson,Lerma Solís,152551_2018/19
2019/20,152551,50,48,65,2702,1,2,4,49,0,0,0,11,1,0,2,376,439.0,189.4,169.0,79.4,0,0.0,0.0,0.0,0.0,206,Jefferson,Lerma Solís,152551_2019/20
2022/23,152551,50,47,101,3252,5,0,7,67,1,0,0,7,0,0,5,500,619.2,296.4,312.0,122.7,37,2.58,3.0,5.58,60.57,206,Jefferson,Lerma Solís,152551_2022/23
2023/24,152551,50,47,64,2399,1,1,5,46,0,0,0,8,0,0,4,338,417.6,366.1,240.0,102.4,27,2.61,1.78,4.39,38.16,206,Jefferson,Lerma Solís,152551_2023/24
2019/20,247632,50,49,57,920,3,3,1,12,0,0,0,3,0,0,0,194,227.8,232.0,260.0,71.8,0,0.0,0.0,0.0,0.0,560,Pedro,Lomba Neto,247632_2019/20
2020/21,247632,55,55,124,2549,5,8,9,38,0,0,0,4,0,0,10,492,594.2,1007.3,722.0,232.5,0,0.0,0.0,0.0,0.0,560,Pedro,Lomba Neto,247632_2020/21
2021/22,247632,65,62,22,459,1,1,0,14,0,0,0,3,0,0,0,88,103.4,205.1,219.0,52.6,0,0.0,0.0,0.0,0.0,560,Pedro,Lomba Neto,247632_2021/22
2022/23,247632,55,49,37,962,0,2,5,15,0,0,0,1,0,0,0,124,96.8,309.5,203.0,60.9,13,1.12,1.64,2.76,14.34,560,Pedro,Lomba Neto,247632_2022/23
2023/24,247632,55,55,86,1516,2,11,3,27,0,0,0,4,0,0,8,310,371.4,599.2,389.0,135.5,18,3.17,3.69,6.86,29.09,560,Pedro,Lomba Neto,247632_2023/24
2022/23,181284,60,58,29,703,1,1,2,12,0,0,0,1,0,0,1,85,89.4,139.6,223.0,45.1,8,1.2,0.45,1.65,11.99,548,Gonçalo Manuel,Ganchinho Guedes,181284_2022/23
2023/24,181284,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,548,Gonçalo Manuel,Ganchinho Guedes,181284_2023/24
2017/18,168991,45,44,22,755,0,0,3,11,0,0,0,3,0,0,0,98,111.4,58.6,26.0,19.3,0,0.0,0.0,0.0,0.0,76,Philip,Billing,168991_2017/18
2018/19,168991,45,45,63,2187,2,0,5,43,0,0,0,7,0,0,4,317,494.6,341.0,375.0,121.3,0,0.0,0.0,0.0,0.0,76,Philip,Billing,168991_2018/19
2019/20,168991,50,49,68,2526,1,1,5,41,0,0,0,8,0,0,5,347,545.4,239.8,342.0,112.9,0,0.0,0.0,0.0,0.0,76,Philip,Billing,168991_2019/20
